date,location,new_cases,new_deaths,hosp_patients,new_tests,people_vaccinated,people_fully_vaccinated
2022-02-01,South Korea,20267.0,15.0,0.0,224950.0,44365186.0,43733104.0
2022-02-02,South Korea,22906.0,25.0,0.0,213460.0,44365703.0,43733972.0
2022-02-03,South Korea,27437.0,24.0,0.0,286476.0,44378056.0,43786376.0
2022-02-04,South Korea,36347.0,22.0,0.0,194411.0,44390550.0,43821838.0
2022-02-05,South Korea,38680.0,15.0,0.0,186014.0,44397834.0,43839883.0
2022-02-06,South Korea,35285.0,13.0,0.0,135535.0,44398293.0,43840854.0
2022-02-07,South Korea,36710.0,36.0,0.0,290320.0,44406474.0,43863171.0
2022-02-08,South Korea,49567.0,21.0,0.0,603600.0,44412254.0,43879154.0
2022-02-09,South Korea,54122.0,20.0,0.0,589150.0,44417439.0,43892005.0
2022-02-10,South Korea,53926.0,49.0,0.0,483257.0,44423326.0,43905805.0
2022-02-11,South Korea,54912.0,33.0,0.0,571473.0,44431626.0,43925427.0
2022-02-12,South Korea,56428.0,36.0,0.0,551773.0,44437393.0,43937661.0
2022-02-13,South Korea,54617.0,21.0,0.0,328417.0,44437767.0,43938277.0
2022-02-14,South Korea,57164.0,61.0,0.0,284433.0,44448164.0,43951848.0
2022-02-15,South Korea,90435.0,39.0,0.0,691591.0,44457883.0,43962464.0
2022-02-16,South Korea,93132.0,36.0,0.0,673409.0,44467055.0,43972005.0
2022-02-17,South Korea,109823.0,45.0,0.0,580624.0,44476134.0,43981962.0
2022-02-18,South Korea,102210.0,71.0,0.0,711493.0,44487626.0,43997204.0
2022-02-19,South Korea,104814.0,51.0,0.0,691301.0,44493875.0,44006722.0
2022-02-20,South Korea,95339.0,45.0,0.0,467614.0,44494242.0,44007313.0
2022-02-21,South Korea,99569.0,58.0,0.0,393323.0,44502345.0,44012839.0
2022-02-22,South Korea,171442.0,99.0,0.0,892309.0,44508602.0,44016748.0
2022-02-23,South Korea,170015.0,82.0,0.0,842625.0,44514336.0,44020376.0
2022-02-24,South Korea,165890.0,94.0,0.0,889816.0,44520556.0,44030741.0
2022-02-25,South Korea,166198.0,112.0,0.0,856010.0,44529444.0,44044604.0
2022-02-26,South Korea,163555.0,49.0,0.0,821672.0,44534372.0,44053088.0
2022-02-27,South Korea,139626.0,114.0,0.0,557018.0,44534605.0,44053550.0
2022-02-28,South Korea,138989.0,112.0,19693.0,457234.0,44540227.0,44061824.0
2022-03-01,South Korea,219240.0,96.0,0.0,1068586.0,44540441.0,44062195.0
2022-03-02,South Korea,198788.0,128.0,0.0,550621.0,44542636.0,44066515.0
2022-03-03,South Korea,266853.0,186.0,0.0,855739.0,44544578.0,44070737.0
2022-03-04,South Korea,254310.0,216.0,0.0,871201.0,44548039.0,44078412.0
2022-03-05,South Korea,243625.0,161.0,18249.0,837319.0,44550338.0,44084038.0
2022-03-06,South Korea,210709.0,139.0,0.0,563132.0,44550421.0,44084242.0
2022-03-07,South Korea,202702.0,186.0,0.0,502248.0,44558171.0,44090067.0
2022-03-08,South Korea,342429.0,158.0,19200.0,1096021.0,44563962.0,44095211.0
2022-03-09,South Korea,327538.0,206.0,0.0,969753.0,44565038.0,44096485.0
2022-03-10,South Korea,282973.0,229.0,0.0,643444.0,44570123.0,44102818.0
2022-03-11,South Korea,383651.0,269.0,0.0,1154325.0,44578926.0,44116681.0
2022-03-12,South Korea,350169.0,251.0,0.0,987638.0,44582914.0,44122079.0
2022-03-13,South Korea,309780.0,200.0,0.0,704150.0,44582998.0,44122189.0
2022-03-14,South Korea,362322.0,293.0,22810.0,564374.0,44586655.0,44127067.0
2022-03-15,South Korea,400730.0,164.0,22405.0,1022093.0,44589095.0,44130367.0
2022-03-16,South Korea,621328.0,429.0,0.0,716697.0,44591282.0,44132787.0
2022-03-17,South Korea,407017.0,301.0,0.0,609998.0,44593772.0,44135489.0
2022-03-18,South Korea,381329.0,319.0,0.0,673019.0,44598467.0,44141116.0
2022-03-19,South Korea,334708.0,327.0,0.0,594011.0,44600548.0,44143048.0
2022-03-20,South Korea,208914.0,329.0,0.0,380216.0,44600577.0,44143087.0
2022-03-21,South Korea,353806.0,384.0,22715.0,389419.0,44602826.0,44145379.0
2022-03-22,South Korea,490872.0,291.0,0.0,818479.0,44604622.0,44146610.0
