date,new_vaccinations
2022-02-01,3323.0
2022-02-02,17348.0
2022-02-03,411573.0
2022-02-04,819545.0
2022-02-05,1049649.0
2022-02-06,1063155.0
2022-02-07,1340883.0
2022-02-08,1526614.0
2022-02-09,1692109.0
2022-02-10,1918120.0
2022-02-11,2254128.0
2022-02-12,2441856.0
2022-02-13,2451896.0
2022-02-14,2670277.0
2022-02-15,2830704.0
2022-02-16,2979021.0
2022-02-17,3168310.0
2022-02-18,3444502.0
2022-02-19,3596438.0
2022-02-20,3605662.0
2022-02-21,3781831.0
2022-02-22,3907930.0
2022-02-23,4029236.0
2022-02-24,4196873.0
2022-02-25,4451695.0
2022-02-26,4585413.0
2022-02-27,4592304.0
2022-02-28,4755892.0
2022-03-01,4761736.0
2022-03-02,4845089.0
2022-03-03,4930811.0
2022-03-04,5061802.0
2022-03-05,5124743.0
2022-03-06,5126849.0
2022-03-07,5218597.0
2022-03-08,5286920.0
2022-03-09,5298344.0
2022-03-10,5388935.0
2022-03-11,5516835.0
2022-03-12,5564227.0
2022-03-13,5565248.0
2022-03-14,5634033.0
2022-03-15,5688007.0
2022-03-16,5741858.0
2022-03-17,5807263.0
2022-03-18,5910821.0
2022-03-19,5947478.0
2022-03-20,5948168.0
2022-03-21,6009639.0
2022-03-22,6053478.0
2022-03-23,6099929.0
2022-03-24,6153763.0
2022-03-25,6238805.0
2022-03-26,6278166.0
2022-03-27,6278841.0
2022-03-28,6328349.0
2022-03-29,6360713.0
2022-03-30,6396387.0
2022-03-31,6442105.0
2022-04-01,6506660.0
2022-04-02,6535834.0
2022-04-03,6536265.0
2022-04-04,6567086.0
2022-04-05,6587426.0
2022-04-06,6613080.0
2022-04-07,6643182.0
2022-04-08,6694428.0
2022-04-09,6713081.0
2022-04-10,6713358.0
2022-04-11,6732574.0
2022-04-12,6747509.0
2022-04-13,6768238.0
2022-04-14,6818435.0
2022-04-15,6920860.0
2022-04-16,6948364.0
2022-04-17,6948735.0
2022-04-18,7010870.0
2022-04-19,7074977.0
2022-04-20,7150364.0
2022-04-21,7222756.0
2022-04-22,7379120.0
2022-04-23,7419958.0
2022-04-24,7420578.0
2022-04-25,7631007.0
2022-04-26,7855946.0
2022-04-27,8086707.0
2022-04-28,8299053.0
2022-04-29,8694246.0
2022-04-30,8777865.0
2022-05-01,8779082.0
2022-05-02,8946245.0
2022-05-03,9127990.0
2022-05-04,9290487.0
2022-05-05,9294212.0
2022-05-06,9549182.0
2022-05-07,9599294.0
2022-05-08,9599959.0
2022-05-09,9707659.0
2022-05-10,9835311.0
2022-05-11,9942597.0
2022-05-12,10047556.0
2022-05-13,10211452.0
2022-05-14,10248409.0
2022-05-15,10248938.0
2022-05-16,10312756.0
2022-05-17,10389096.0
2022-05-18,10453564.0
2022-05-19,10514852.0
2022-05-20,10619910.0
2022-05-21,10644174.0
2022-05-22,10644522.0
2022-05-23,10687131.0
2022-05-24,10737942.0
2022-05-25,10783289.0
2022-05-26,10827960.0
2022-05-27,10908439.0
2022-05-28,10928991.0
2022-05-29,10929301.0
2022-05-30,10962301.0
