location,date,new_cases,reproduction_rate,new_deaths,hosp_patients,icu_patients,new_tests,positive_rate,new_vaccinations,people_vaccinated,people_fully_vaccinated
South Korea,2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,2020-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,2020-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,2020-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,2020-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,2020-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,2020-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,2020-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,2020-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,2020-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,2020-01-19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,2020-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,2020-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,2020-01-24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,2020-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,2020-01-26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,2020-01-27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,2020-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,2020-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,2020-01-30,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,2020-01-31,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,2020-02-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,2020-02-02,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,2020-02-04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,2020-02-05,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,2020-02-06,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,2020-02-08,0.0,0.0,0.0,0.0,0.0,745.0,0.0,0.0,0.0,0.0
South Korea,2020-02-09,3.0,0.0,0.0,0.0,0.0,501.0,0.0,0.0,0.0,0.0
South Korea,2020-02-10,1.0,0.0,0.0,0.0,0.0,512.0,0.0,0.0,0.0,0.0
South Korea,2020-02-11,0.0,0.0,0.0,0.0,0.0,1215.0,0.0,0.0,0.0,0.0
South Korea,2020-02-12,0.0,0.0,0.0,0.0,0.0,1299.0,0.0,0.0,0.0,0.0
South Korea,2020-02-13,0.0,0.0,0.0,0.0,0.0,887.0,0.0,0.0,0.0,0.0
South Korea,2020-02-14,0.0,0.0,0.0,0.0,0.0,731.0,0.0,0.0,0.0,0.0
South Korea,2020-02-15,0.0,0.0,0.0,0.0,0.0,492.0,0.0007,0.0,0.0,0.0
South Korea,2020-02-16,2.0,0.0,0.0,0.0,0.0,427.0,0.0007,0.0,0.0,0.0
South Korea,2020-02-17,0.0,0.0,0.0,0.0,0.0,557.0,0.0005,0.0,0.0,0.0
South Korea,2020-02-18,2.0,0.0,0.0,0.0,0.0,1054.0,0.0006,0.0,0.0,0.0
South Korea,2020-02-19,34.0,0.0,0.0,0.0,0.0,1401.0,0.0005,0.0,0.0,0.0
South Korea,2020-02-20,16.0,0.0,1.0,0.0,0.0,2029.0,0.0114,0.0,0.0,0.0
